Postal District;City;Administrative Region;Population;Area km²
1011;Amsterdam;North Holland;6,606;1.032
1012;Amsterdam;North Holland;7,067;1.207
1013;Amsterdam;North Holland;26,792;6.3
1014;Amsterdam;North Holland;15,056;2.699
1015;Amsterdam;North Holland;5,926;0.776
1016;Amsterdam;North Holland;5,568;0.793
1017;Amsterdam;North Holland;9,336;1.293
1018;Amsterdam;North Holland;14,004;2.159
1019;Amsterdam;North Holland;13,174;2.996
1021;Amsterdam;North Holland;6,539;1.486
1022;Amsterdam;North Holland;4,738;1.157
1023;Amsterdam;North Holland;6,128;2.597
1024;Amsterdam;North Holland;7,461;1.58
1025;Amsterdam;North Holland;13,033;2.414
1026;Amsterdam;North Holland;2,946;12.4
1027;Amsterdam;North Holland;6,082;10
1028;Amsterdam;North Holland;2,434;13.9
1031;Amsterdam;North Holland;9,049;1.621
1032;Amsterdam;North Holland;8,332;1.482
1033;Amsterdam;North Holland;19,151;3.881
1034;Amsterdam;North Holland;11,152;2.107
1035;Amsterdam;North Holland;13,196;2.616
1036;Amsterdam;North Holland;1,765;0.242
1037;Amsterdam;North Holland;2,234;90,298 m²
1041;Amsterdam;North Holland;17,548;3.535
1042;Amsterdam;North Holland;13,282;2.517
1043;Amsterdam;North Holland;16,208;3.425
1044;Amsterdam;North Holland;16,275;3.063
1045;Amsterdam;North Holland;20,241;5.9
1046;Amsterdam;North Holland;15,789;4.257
1047;Amsterdam;North Holland;28,120;10.5
1051;Amsterdam;North Holland;6,151;0.925
1052;Amsterdam;North Holland;4,176;0.625
1053;Amsterdam;North Holland;4,582;0.709
1054;Amsterdam;North Holland;6,186;0.957
1055;Amsterdam;North Holland;8,424;1.26
1056;Amsterdam;North Holland;6,817;0.982
1057;Amsterdam;North Holland;6,466;1.015
1058;Amsterdam;North Holland;7,080;1.128
1059;Amsterdam;North Holland;4,699;0.832
1060;Amsterdam;North Holland;6,496;1.621
1061;Amsterdam;North Holland;7,450;1.103
1062;Amsterdam;North Holland;9,257;1.563
1063;Amsterdam;North Holland;9,431;1.298
1064;Amsterdam;North Holland;12,497;2.821
1065;Amsterdam;North Holland;9,464;1.88
1066;Amsterdam;North Holland;27,614;6.4
1067;Amsterdam;North Holland;24,811;8.8
1068;Amsterdam;North Holland;11,594;1.887
1069;Amsterdam;North Holland;15,531;2.317
1071;Amsterdam;North Holland;9,773;1.366
1072;Amsterdam;North Holland;4,281;0.63
1073;Amsterdam;North Holland;4,214;0.601
1074;Amsterdam;North Holland;2,445;0.432
1075;Amsterdam;North Holland;6,139;0.98
1076;Amsterdam;North Holland;8,440;1.341
1077;Amsterdam;North Holland;11,582;1.753
1078;Amsterdam;North Holland;7,797;1.161
1079;Amsterdam;North Holland;9,471;1.576
1081;Amsterdam;North Holland;13,677;3.311
1082;Amsterdam;North Holland;8,852;1.53
1083;Amsterdam;North Holland;8,869;1.729
1086;Amsterdam;North Holland;878;2.526
1087;Amsterdam;North Holland;6,204;6.8
1090;Amsterdam;North Holland;—;—
1091;Amsterdam;North Holland;6,905;0.961
1092;Amsterdam;North Holland;3,710;0.547
1093;Amsterdam;North Holland;3,927;0.605
1094;Amsterdam;North Holland;3,289;0.477
1095;Amsterdam;North Holland;11,070;4.195
1096;Amsterdam;North Holland;12,764;3.086
1097;Amsterdam;North Holland;15,472;2.742
1098;Amsterdam;North Holland;14,066;2.877
1099;Amsterdam;North Holland;—;—
1101;Amsterdam;North Holland;14,750;2.384
1102;Amsterdam;North Holland;13,813;2.915
1103;Amsterdam;North Holland;9,294;1.993
1104;Amsterdam;North Holland;10,044;2.104
1105;Amsterdam;North Holland;10,310;3.48
1106;Amsterdam;North Holland;12,102;2.54
1107;Amsterdam;North Holland;7,301;1.997
1108;Amsterdam;North Holland;5,045;2.858
1109;Amsterdam;North Holland;2,766;1.65
1114;Amsterdam;North Holland;5,279;3.181
